Disease Entry 	Hypertension
Target 	Adrenergic receptor beta-1 (ADRB1) 	Target Info 	Successful
	Oxprenolol 	Drug Info 	Approved
	Metoprolol 	Drug Info 	Approved
Target 	Adrenergic receptor (ADR) 	Target Info 	Successful
	Celiprolol hcl 	Drug Info 	Approved
Disease Entry 	Hypertension
Target 	Carbonic anhydrase (CA) 	Target Info 	Successful
	Quinethazone 	Drug Info 	Approved
Disease Entry 	Hypertension
Target 	Voltage-gated calcium channel alpha Cav3.1 (CACNA1G) 	Target Info 	Successful
	Verapamil 	Drug Info 	Approved
Target 	Adrenergic receptor beta-1 (ADRB1) 	Target Info 	Successful
	Pindolol 	Drug Info 	Approved
Target 	Voltage-gated calcium channel alpha-2/delta-1 (CACNA2D1) 	Target Info 	Successful
	Amlodipine 	Drug Info 	Approved
Target 	Nitric-oxide synthase endothelial (NOS3) 	Target Info 	Clinical Trial
	L-NAME 	Drug Info 	Phase 2
Disease Entry 	Hypertension
Target 	Adrenergic receptor beta-1 (ADRB1) 	Target Info 	Successful
	Penbutolol 	Drug Info 	Approved
Target 	Dopamine D2 receptor (D2R) 	Target Info 	Successful
	Bevantolol 	Drug Info 	Approved
Target 	Adrenergic receptor beta-1 (ADRB1) 	Target Info 	Successful
	Acebutolol 	Drug Info 	Approved
Disease Entry 	Hypertension
Target 	Monoamine oxidase type B (MAO-B) 	Target Info 	Successful
	Pargyline 	Drug Info 	Approved
Target 	Monoamine oxidase (MAO) 	Target Info 	Successful
	Pargyline 	Drug Info 	Approved
Disease Entry 	Hypertension
ICD9 	ICD-9: 401, 782.3
Target 	Solute carrier family 12 member 1 (SLC12A1) 	Target Info 	Successful
	Trichlormethiazide 	Drug Info 	Approved
Disease Entry 	Hypertension
ICD9 	ICD-9: 401
Target 	Angiotensin II receptor type-1 (AGTR1) 	Target Info 	Successful
	Eprosartan 	Drug Info 	Approved
	Losartan 	Drug Info 	Approved
	Candesartan 	Drug Info 	Approved
	Valsartan 	Drug Info 	Approved
	Irbesartan 	Drug Info 	Approved
	Telmisartan 	Drug Info 	Approved
	Tasosartan 	Drug Info 	Approved
	SARALASIN 	Drug Info 	Approved
	Micardis telmisartan 	Drug Info 	Approved
	Saprisartan 	Drug Info 	Approved
	Azilsartan 	Drug Info 	Approved
	Saralasin Acetate 	Drug Info 	Approved
	Forasartan 	Drug Info 	Approved
	TAK-491 	Drug Info 	Phase 3
	Pratosartan 	Drug Info 	Phase 3
	sparsentan 	Drug Info 	Phase 2/3
	YM-358 	Drug Info 	Phase 2
	CL-329167 	Drug Info 	Phase 2
	KRH-594 	Drug Info 	Discontinued in Phase 2
	MILFASARTAN 	Drug Info 	Discontinued in Phase 2
	RIPISARTAN 	Drug Info 	Discontinued in Phase 2
	TAK-591 	Drug Info 	Discontinued in Phase 1
	UR-7198 	Drug Info 	Discontinued in Phase 1
	L-158809 	Drug Info 	Terminated
	A-81988 	Drug Info 	Terminated
	UP-275-22 	Drug Info 	Terminated
	XR-510 	Drug Info 	Terminated
	CR-3834 	Drug Info 	Terminated
	L-159689 	Drug Info 	Terminated
Target 	Adrenergic receptor Alpha-1 (ADRA1) 	Target Info 	Successful
	Urapidil 	Drug Info 	Approved
	Labetalol 	Drug Info 	Approved
Target 	5-HT 1A receptor (HTR1A) 	Target Info 	Successful
	Urapidil 	Drug Info 	Approved
	TERTATOLOL 	Drug Info 	Approved
	A-74283 	Drug Info 	Terminated
Target 	Solute carrier family 12 member 1 (SLC12A1) 	Target Info 	Successful
	Aldosterone 	Drug Info 	Approved
Target 	Mineralocorticoid receptor (MR) 	Target Info 	Successful
	Aldosterone 	Drug Info 	Approved
	KBP-5074 	Drug Info 	Phase 1/2
Target 	Adrenergic receptor Alpha-2 (ADRA2) 	Target Info 	Successful
	Clonidine 	Drug Info 	Approved
	Methyldopate Hydrochloride 	Drug Info 	Approved
	ADX415 	Drug Info 	Terminated
Target 	Membrane copper amine oxidase (AOC3) 	Target Info 	Successful
	Clonidine 	Drug Info 	Approved
	Hydralazine 	Drug Info 	Approved
Target 	Calcium channel unspecific (CaC) 	Target Info 	Successful
	Isradipine 	Drug Info 	Approved
	Felodipine 	Drug Info 	Approved
	Nisoldipine 	Drug Info 	Approved
	Clevidipine butyrate 	Drug Info 	Approved
	Nexopamil 	Drug Info 	Phase 2
	YM-16151-4 	Drug Info 	Phase 1
	Semotiadil 	Drug Info 	Discontinued in Preregistration
	AE-0047 	Drug Info 	Discontinued in Preregistration
	Palonidipine hydrochloride 	Drug Info 	Discontinued in Preregistration
	S-12968 	Drug Info 	Discontinued in Phase 3
	Anipamil 	Drug Info 	Discontinued in Phase 3
	CD-349 	Drug Info 	Discontinued in Phase 2
	NP-252 	Drug Info 	Discontinued in Phase 1
	SM-6586 	Drug Info 	Discontinued in Phase 1
	AHR-16303B 	Drug Info 	Terminated
	Z-6568 	Drug Info 	Terminated
	DHP-218 	Drug Info 	Terminated
	RS-93522 	Drug Info 	Terminated
	ZM-224832 	Drug Info 	Terminated
	AHR-16462B 	Drug Info 	Terminated
	SQ-33351 	Drug Info 	Terminated
	SR-33805A 	Drug Info 	Investigative
	TELUDIPINE HYDROCHLORIDE 	Drug Info 	Investigative
